graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
miles500.graph,128,par_jp,8,0.001809,22
miles500.graph,128,par_opt_ver,8,0.816871,21
miles500.graph,128,par_opt_ed,8,27.991198,21
queen6_6.graph,36,seq_greedy,8,0.000290,9
queen6_6.graph,36,seq_ldf,8,0.000201,9
queen6_6.graph,36,rec_rlf,8,0.000660,9
queen6_6.graph,36,par_jp,8,0.001399,10
queen6_6.graph,36,par_opt_ver,8,0.105276,8
queen6_6.graph,36,par_opt_ed,8,1.439135,8
le450_15b.graph,450,seq_greedy,8,0.004212,21
le450_15b.graph,450,seq_ldf,8,0.004593,18
le450_15b.graph,450,rec_rlf,8,0.061634,21
le450_15b.graph,450,par_jp,8,0.003669,22
le450_15b.graph,450,par_opt_ver,8,7.169975,20
le450_15b.graph,450,par_opt_ed,8,1877.345660,19
mulsol.i.2.graph,188,seq_greedy,8,0.001970,31
mulsol.i.2.graph,188,seq_ldf,8,0.002064,31
mulsol.i.2.graph,188,rec_rlf,8,0.026223,31
mulsol.i.2.graph,188,par_jp,8,0.002460,31
mulsol.i.2.graph,188,par_opt_ver,8,1.490571,31
mulsol.i.2.graph,188,par_opt_ed,8,939.597632,31
queen5_5.graph,25,seq_greedy,8,0.000184,8
queen5_5.graph,25,seq_ldf,8,0.000134,5
queen5_5.graph,25,rec_rlf,8,0.000275,6
queen5_5.graph,25,par_jp,8,0.001207,7
queen5_5.graph,25,par_opt_ver,8,0.076340,5
queen5_5.graph,25,par_opt_ed,8,0.345497,5
